"zvit_date","edrpou_hosp","legal_entity_name_hosp","priority_hosp_area","legal_entity_lat","legal_entity_lng","new_susp"
2020-04-30,"01993701","КНП КИЇВСЬКОЇ ОБЛАСНОЇ РАДИ КИЇВСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ","Київська",50.4721263,30.46868889,1
2020-04-30,"01994161","КНП ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ, СІЛЬСЬКИХ РАД ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОГО РАЙОНУ ТА ПЕРЕЯСЛАВСЬКОЇ МІСЬКОЇ РАДИ","Київська",50.06428088,31.44084952,1
2020-04-30,"01994161","КНП ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ, СІЛЬСЬКИХ РАД ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОГО РАЙОНУ ТА ПЕРЕЯСЛАВСЬКОЇ МІСЬКОЇ РАДИ","Київська",50.06428088,31.44084952,1
2020-04-30,"01994161","КНП ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ, СІЛЬСЬКИХ РАД ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОГО РАЙОНУ ТА ПЕРЕЯСЛАВСЬКОЇ МІСЬКОЇ РАДИ","Київська",50.06428088,31.44084952,1
2020-04-30,"01994161","КНП ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ, СІЛЬСЬКИХ РАД ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКОГО РАЙОНУ ТА ПЕРЕЯСЛАВСЬКОЇ МІСЬКОЇ РАДИ","Київська",50.06428088,31.44084952,1
2020-04-30,"01994385","КНП ВАСИЛЬКІВСЬКОЇ РАЙОННОЇ РАДИ ВАСИЛЬКІВСЬКА  ЦЕНТРАЛЬНА РАЙОННА  ЛІКАРНЯ","Київська",50.20137822,30.31249427,1
2020-04-30,"01994416","КНП КАГАРЛИЦЬКОЇ РАЙОННОЇ РАДИ КАГАРЛИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","Київська",49.86291758,30.8231225,1
2020-04-30,"01994416","КНП КАГАРЛИЦЬКОЇ РАЙОННОЇ РАДИ КАГАРЛИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","Київська",49.86291758,30.8231225,1
2020-04-30,"01994416","КНП КАГАРЛИЦЬКОЇ РАЙОННОЇ РАДИ КАГАРЛИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","Київська",49.86291758,30.8231225,1
2020-04-30,"01994416","КНП КАГАРЛИЦЬКОЇ РАЙОННОЇ РАДИ КАГАРЛИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","Київська",49.86291758,30.8231225,1
