"zvit_date","new_confirm","comsum"
2020-09-30,5597,228690
2020-10-01,5753,234443
2020-10-02,5617,240060
2020-10-03,4828,244888
2020-10-04,2759,247647
2020-10-05,5787,253434
2020-10-06,6514,259948
2020-10-07,6779,266727
2020-10-08,6960,273687
2020-10-09,7441,281128
2020-10-10,5472,286600
2020-10-11,3621,290221
2020-10-12,6514,296735
2020-10-13,7173,303908
2020-10-14,5843,309751
2020-10-15,7463,317214
2020-10-16,7575,324789
2020-10-17,6484,331273
2020-10-18,3591,334864
2020-10-19,7170,342034
2020-10-20,8205,350239
2020-10-21,8506,358745
2020-10-22,9018,367763
2020-10-23,10055,377818
2020-10-24,8388,386206
2020-10-25,4969,391175
2020-10-26,8747,399922
2020-10-27,9819,409741
2020-10-28,10606,420347
2020-10-29,11379,431726
2020-10-30,12459,444185
2020-10-31,9044,453229
2020-11-01,6071,459300
2020-11-02,10414,469714
2020-11-03,10647,480361
2020-11-04,11164,491525
2020-11-05,12022,503547
2020-11-06,12515,516062
2020-11-07,10289,526351
2020-11-08,7065,533416
2020-11-09,11825,545241
2020-11-10,12488,557729
2020-11-11,13038,570767
2020-11-12,12621,583388
2020-11-13,13843,597231
2020-11-14,10824,608055
2020-11-15,6732,614787
2020-11-16,11215,626002
2020-11-17,11705,637707
2020-11-18,12998,650705
2020-11-19,13545,664250
2020-11-20,14659,678909
2020-11-21,10589,689498
2020-11-22,6812,696310
2020-11-23,10759,707069
2020-11-24,13256,720325
2020-11-25,14901,735226
2020-11-26,14155,749381
2020-11-27,14832,764213
2020-11-28,11064,775277
2020-11-29,5568,780845
2020-11-30,11093,791938
2020-12-01,13273,805211
2020-12-02,14982,820193
2020-12-03,14061,834254
2020-12-04,14719,848973
2020-12-05,9375,858348
2020-12-06,5106,863454
2020-12-07,8918,872372
2020-12-08,11301,883673
2020-12-09,13464,897137
2020-12-10,11883,909020
2020-12-11,11232,920252
2020-12-12,7748,928000
2020-12-13,3579,931579
2020-12-14,7531,939110
2020-12-15,10747,949857
2020-12-16,12233,962090
2020-12-17,11263,973353
2020-12-18,11886,985239
2020-12-19,7111,992350
2020-12-20,4190,996540
2020-12-21,7775,1004315
2020-12-22,10477,1014792
2020-12-23,11497,1026289
2020-12-24,10902,1037191
2020-12-25,6133,1043324
2020-12-26,4717,1048041
2020-12-27,2020,1050061
2020-12-28,6246,1056307
2020-12-29,9127,1065434
2020-12-30,10981,1076415
2020-12-31,9645,1086060
2021-01-01,2897,1088957
2021-01-02,3034,1091991
2021-01-03,1804,1093795
2021-01-04,5009,1098804
2021-01-05,8858,1107662
2021-01-06,10688,1118350
2021-01-07,3085,1121435
2021-01-08,4924,1126359
2021-01-09,4112,1130471
2021-01-10,1706,1132177
2021-01-11,4737,1136914
2021-01-12,7661,1144575
2021-01-13,8228,1152803
2021-01-14,6377,1159180
2021-01-15,6402,1165582
2021-01-16,3725,1169307
2021-01-17,1045,1170352
2021-01-18,3290,1173642
2021-01-19,5022,1178664
2021-01-20,5069,1183733
2021-01-21,4399,1188132
2021-01-22,4460,1192592
2021-01-23,2435,1195027
2021-01-24,784,1195811
2021-01-25,1296,1197107
