"zvit_date","registration_area","is_medical","medical_comsum","medical_percent","medical_total","percent_total"
2020-03-27,"Чернігівська",0,0,0,892,2.82019665496854
2020-03-28,"Вінницька",6,13,56.5217391304348,1991,8.27136388184953
2020-03-28,"Закарпатська",0,0,0,2249,7.68494788997096
2020-03-28,"Запорізька",0,0,0,3540,5.94298761038176
2020-03-28,"Івано-Франківська",3,8,18.6046511627907,2079,4.65986775748067
2020-03-28,"Київська",1,1,2.12765957446809,4369,6.79851861073074
2020-03-28,"Кіровоградська",0,0,0,856,9.42419905317626
2020-03-28,"Львівська",0,0,0,2628,4.00817496873379
2020-03-28,"м. Київ",1,1,1.05263157894737,5357,4.48690029482712
2020-03-28,"Одеська",0,0,0,2512,3.27070557139695
2020-03-28,"Сумська",0,1,16.6666666666667,2309,5.3411982419616
2020-03-28,"Тернопільська",4,26,45.6140350877193,2709,7.64131783820377
2020-03-28,"Черкаська",6,6,16.6666666666667,3235,7.596749953034
2020-03-29,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-03-29,"Донецька",0,0,0,1597,4.00040079156334
2020-03-29,"Запорізька",0,0,0,3540,5.94298761038176
2020-03-29,"Київська",0,1,1.96078431372549,4369,6.79851861073074
2020-03-29,"м. Київ",1,2,1.63934426229508,5357,4.48690029482712
2020-03-29,"Рівненська",0,0,0,2652,6.14201676779842
2020-03-29,"Сумська",0,1,11.1111111111111,2309,5.3411982419616
2020-03-29,"Тернопільська",1,27,45,2709,7.64131783820377
2020-03-29,"Хмельницька",0,1,33.3333333333333,3262,7.8336255133162
2020-03-29,"Черкаська",1,7,13.7254901960784,3235,7.596749953034
2020-03-29,"Чернівецька",2,2,2.66666666666667,2072,4.93145468392993
2020-03-29,"Чернігівська",0,0,0,892,2.82019665496854
2020-03-30,"Вінницька",3,16,44.4444444444444,1991,8.27136388184953
2020-03-30,"Волинська",1,2,66.6666666666667,2481,7.18401621543362
2020-03-30,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-03-30,"Донецька",0,0,0,1597,4.00040079156334
2020-03-30,"Закарпатська",1,1,4.76190476190476,2249,7.68494788997096
2020-03-30,"Івано-Франківська",2,10,20.8333333333333,2079,4.65986775748067
2020-03-30,"Київська",0,1,1.88679245283019,4369,6.79851861073074
2020-03-30,"м. Київ",1,3,2.30769230769231,5357,4.48690029482712
2020-03-30,"Одеська",0,0,0,2512,3.27070557139695
2020-03-30,"Рівненська",0,0,0,2652,6.14201676779842
2020-03-30,"Сумська",0,1,5.88235294117647,2309,5.3411982419616
2020-03-30,"Тернопільська",3,30,38.4615384615385,2709,7.64131783820377
2020-03-30,"Хмельницька",0,1,25,3262,7.8336255133162
2020-03-30,"Черкаська",0,7,13.4615384615385,3235,7.596749953034
2020-03-30,"Чернівецька",4,6,6.66666666666667,2072,4.93145468392993
2020-03-31,"Вінницька",7,23,46,1991,8.27136388184953
2020-03-31,"Волинська",4,6,85.7142857142857,2481,7.18401621543362
2020-03-31,"Закарпатська",0,1,4.54545454545455,2249,7.68494788997096
2020-03-31,"Запорізька",1,1,5.26315789473684,3540,5.94298761038176
2020-03-31,"Івано-Франківська",2,12,17.3913043478261,2079,4.65986775748067
2020-03-31,"Київська",0,1,1.72413793103448,4369,6.79851861073074
2020-03-31,"Кіровоградська",1,1,16.6666666666667,856,9.42419905317626
2020-03-31,"Луганська",0,0,0,962,7.76432606941081
2020-03-31,"Львівська",0,0,0,2628,4.00817496873379
2020-03-31,"м. Київ",0,3,1.88679245283019,5357,4.48690029482712
2020-03-31,"Одеська",0,0,0,2512,3.27070557139695
2020-03-31,"Полтавська",0,0,0,1482,3.72212176009644
2020-03-31,"Рівненська",2,2,11.1111111111111,2652,6.14201676779842
2020-03-31,"Сумська",0,1,5.26315789473684,2309,5.3411982419616
2020-03-31,"Тернопільська",5,35,35.7142857142857,2709,7.64131783820377
2020-03-31,"Харківська",0,0,0,1166,1.58721515885764
2020-03-31,"Хмельницька",0,1,16.6666666666667,3262,7.8336255133162
2020-03-31,"Черкаська",0,7,13.2075471698113,3235,7.596749953034
2020-03-31,"Чернівецька",5,11,10.5769230769231,2072,4.93145468392993
2020-03-31,"Чернігівська",0,0,0,892,2.82019665496854
2020-04-01,"Вінницька",1,24,44.4444444444444,1991,8.27136388184953
2020-04-01,"Волинська",3,9,90,2481,7.18401621543362
2020-04-01,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-04-01,"Житомирська",0,0,0,1850,4.43996448028416
2020-04-01,"Запорізька",1,2,9.09090909090909,3540,5.94298761038176
2020-04-01,"Івано-Франківська",4,16,20,2079,4.65986775748067
2020-04-01,"Київська",0,1,1.53846153846154,4369,6.79851861073074
2020-04-01,"Кіровоградська",0,1,14.2857142857143,856,9.42419905317626
2020-04-01,"Львівська",1,1,8.33333333333333,2628,4.00817496873379
2020-04-01,"м. Київ",3,6,2.80373831775701,5357,4.48690029482712
2020-04-01,"Одеська",0,0,0,2512,3.27070557139695
2020-04-01,"Полтавська",0,0,0,1482,3.72212176009644
2020-04-01,"Рівненська",0,2,9.09090909090909,2652,6.14201676779842
2020-04-01,"Сумська",0,1,3.84615384615385,2309,5.3411982419616
